[LOW AIRWAY]
;Airway Database populated by Casey Diers' Sector File Creation tools at http://www.myfsim.com/SectorFileCreation
;=====================================================================================
B9                        DEEDS          DEEDS          DHP            DHP            
V3                        DHP            DHP            FLL            FLL            
V3                        FLL            FLL            PBI            PBI            
V3                        PBI            PBI            MORGA          MORGA          
V3                        MORGA          MORGA          SMUGS          SMUGS          
V3                        SMUGS          SMUGS          WUBUR          WUBUR          
V3                        WUBUR          WUBUR          TRV            TRV            
V3                        TRV            TRV            MLBSO          MLBSO          
V3                        MLBSO          MLBSO          VALKA          VALKA          
V3                        VALKA          VALKA          MLB            MLB            
V3                        MLB            MLB            INDIA          INDIA          
V3                        INDIA          INDIA          DHP            DHP            
V7                        DHP            DHP            WUDIP          WUDIP          
V7                        WUDIP          WUDIP          KUBIC          KUBIC          
V7                        KUBIC          KUBIC          SWAGS          SWAGS          
V7                        SWAGS          SWAGS          FORTL          FORTL          
V7                        FORTL          FORTL          RSW            RSW            
V7                        RSW            RSW            SERFS          SERFS          
V7                        SERFS          SERFS          JOCKS          JOCKS          
V7                        JOCKS          JOCKS          ROGAN          ROGAN          
V7                        ROGAN          ROGAN          CROWD          CROWD          
V7                        CROWD          CROWD          DHP            DHP            
V35                       DHP            DHP            CURVE          CURVE          
V35                       CURVE          CURVE          WORPP          WORPP          
V35                       WORPP          WORPP          DEEDS          DEEDS          
V35                       DEEDS          DEEDS          CORFU          CORFU          
V35                       CORFU          CORFU          RSW            RSW            
V35                       RSW            RSW            ERRIN          ERRIN          
V35                       ERRIN          ERRIN          CEXAN          CEXAN          
V35                       CEXAN          CEXAN          CHARO          CHARO          
V35                       CHARO          CHARO          SABEE          SABEE          
V35                       SABEE          SABEE          MURDO          MURDO          
V35                       MURDO          MURDO          PHK            PHK            
V51                       PHK            PHK            YATUR          YATUR          
V51                       YATUR          YATUR          SHEDS          SHEDS          
V51                       SHEDS          SHEDS          TRV            TRV            
V51                       TRV            TRV            DHP            DHP            
V97                       DHP            DHP            WINCO          WINCO          
V97                       WINCO          WINCO          LBV            LBV            
V97                       LBV            LBV            UTELE          UTELE          
V97                       UTELE          UTELE          QUNCY          QUNCY          
V97                       QUNCY          QUNCY          ROGAN          ROGAN          
V97                       ROGAN          ROGAN          BRDGE          BRDGE          
V97                       BRDGE          BRDGE          GIBBS          GIBBS          
V97                       GIBBS          GIBBS          DVALL          DVALL          
V157                      DVALL          DVALL          WEVER          WEVER          
V157                      WEVER          WEVER          FAMIN          FAMIN          
V157                      FAMIN          FAMIN          FOGSO          FOGSO          
V157                      FOGSO          FOGSO          DHP            DHP            
V157                      DHP            DHP            FRRDY          FRRDY          
V157                      FRRDY          FRRDY          HOLID          HOLID          
V157                      HOLID          HOLID          NEWER          NEWER          
V157                      NEWER          NEWER          GILBI          GILBI          
V157                      GILBI          GILBI          THNDR          THNDR          
V157                      THNDR          THNDR          LBV            LBV            
